Month,Washington All Grades Conventional Retail Gasoline Prices Dollars per Gallon
Apr-23,4.395
Mar-23,4.182
Feb-23,4.111
Jan-23,3.915
Dec-22,3.99
Nov-22,4.655
Oct-22,5.093
Sep-22,4.644
Aug-22,4.789
Jul-22,5.238
Jun-22,5.44
May-22,4.936
Apr-22,4.615
Mar-22,4.634
Feb-22,3.946
Jan-22,3.908
Dec-21,3.826
Nov-21,3.857
Oct-21,3.848
Sep-21,3.859
Aug-21,3.864
Jul-21,3.798
Jun-21,3.604
May-21,3.477
Apr-21,3.316
Mar-21,3.187
Feb-21,2.828
Jan-21,2.696
Dec-20,2.688
Nov-20,2.721
Oct-20,2.75
Sep-20,2.806
Aug-20,2.79
Jul-20,2.737
Jun-20,2.574
May-20,2.356
Apr-20,2.455
Mar-20,2.888
Feb-20,2.994
Jan-20,3.029
Dec-19,3.163
Nov-19,3.348
Oct-19,3.294
Sep-19,3.134
Aug-19,3.17
Jul-19,3.242
Jun-19,3.392
May-19,3.513
Apr-19,3.313
Mar-19,2.905
Feb-19,2.818
Jan-19,2.916
Dec-18,3.146
Nov-18,3.42
Oct-18,3.453
Sep-18,3.353
Aug-18,3.343
Jul-18,3.381
Jun-18,3.42
May-18,3.389
Apr-18,3.261
Mar-18,3.101
Feb-18,3.027
Jan-18,2.966
Dec-17,2.986
Nov-17,3.028
Oct-17,2.981
Sep-17,3.095
Aug-17,2.922
Jul-17,2.841
Jun-17,2.878
May-17,2.934
Apr-17,2.938
Mar-17,2.86
Feb-17,2.761
Jan-17,2.743
Dec-16,2.601
Nov-16,2.689
Oct-16,2.747
Sep-16,2.707
Aug-16,2.615
Jul-16,2.7
Jun-16,2.68
May-16,2.567
Apr-16,2.349
Mar-16,2.235
Feb-16,2.111
Jan-16,2.39
Dec-15,2.451
Nov-15,2.494
Oct-15,2.504
Sep-15,2.764
Aug-15,3.102
Jul-15,3.221
Jun-15,3.152
May-15,3.028
Apr-15,2.784
Mar-15,2.786
Feb-15,2.287
Jan-15,2.351
Dec-14,2.859
Nov-14,3.149
Oct-14,3.466
Sep-14,3.82
Aug-14,3.91
Jul-14,3.99
Jun-14,3.994
May-14,3.911
Apr-14,3.829
Mar-14,3.619
Feb-14,3.379
Jan-14,3.366
Dec-13,3.348
Nov-13,3.373
Oct-13,3.567
Sep-13,3.767
Aug-13,3.855
Jul-13,3.901
Jun-13,3.875
May-13,3.953
Apr-13,3.746
Mar-13,3.835
Feb-13,3.656
Jan-13,3.422
Dec-12,3.454
Nov-12,3.623
Oct-12,4.053
Sep-12,4.094
Aug-12,3.946
Jul-12,3.691
Jun-12,4.115
May-12,4.261
Apr-12,4.187
Mar-12,4.055
Feb-12,3.709
Jan-12,3.534
Dec-11,3.562
Nov-11,3.775
Oct-11,3.866
Sep-11,3.937
Aug-11,3.849
Jul-11,3.848
Jun-11,3.933
May-11,4.062
Apr-11,3.951
Mar-11,3.733
Feb-11,3.407
Jan-11,3.293
Dec-10,3.223
Nov-10,3.147
Oct-10,3.095
Sep-10,3.047
Aug-10,3.149
Jul-10,3.061
Jun-10,3.012
May-10,3.077
Apr-10,3.085
Mar-10,2.993
Feb-10,2.867
Jan-10,2.908
Dec-09,2.839
Nov-09,2.885
Oct-09,2.841
Sep-09,2.989
Aug-09,2.908
Jul-09,2.808
Jun-09,2.858
May-09,2.539
Apr-09,2.364
Mar-09,2.213
Feb-09,2.178
Jan-09,1.996
Dec-08,1.883
Nov-08,2.384
Oct-08,3.251
Sep-08,3.827
Aug-08,4.066
Jul-08,4.358
Jun-08,4.327
May-08,3.908
Apr-08,3.64
Mar-08,3.509
Feb-08,3.178
Jan-08,3.171
Dec-07,3.205
Nov-07,3.271
Oct-07,3.05
Sep-07,2.921
Aug-07,2.879
Jul-07,3.052
Jun-07,3.255
May-07,3.441
Apr-07,3.124
Mar-07,2.77
Feb-07,2.5
Jan-07,2.64
Dec-06,2.649
Nov-06,2.544
Oct-06,2.599
Sep-06,2.905
Aug-06,3.094
Jul-06,3.077
Jun-06,3.124
May-06,3.147
Apr-06,2.76
Mar-06,2.473
Feb-06,2.322
Jan-06,2.294
Dec-05,2.232
Nov-05,2.478
Oct-05,2.827
Sep-05,2.959
Aug-05,2.651
Jul-05,2.458
Jun-05,2.319
May-05,2.447
Apr-05,2.462
Mar-05,2.186
Feb-05,1.995
Jan-05,1.87
Dec-04,1.956
Nov-04,2.084
Oct-04,2.101
Sep-04,2.038
Aug-04,1.993
Jul-04,2.037
Jun-04,2.207
May-04,2.246
Apr-04,1.961
Mar-04,1.851
Feb-04,1.729
Jan-04,1.64
Dec-03,1.572
Nov-03,1.625
Oct-03,1.677
Sep-03,1.894
Aug-03,1.798
Jul-03,1.639
Jun-03,1.607
